"gene"	"ann"	"ara"	"max"	"tmax"	"tmin"	"pos"	"per"	"reanno"	"par"	"fix"
"yadM"	"missense"	"m1"	0.2	37500	35500	155291	8	"yadM"	2	0
"yadM"	"missense"	"m1"	0.142857142857	43500	23000	155381	5	"yadM"	2	0
"yadM"	"missense"	"m1"	0.00625	1000	1000	155497	1	"yadM"	2	0
"htrE"	"missense"	"m1"	1	30000	17000	156770	50	"htrE"	7	3
"pcnB"	"missense"	"m1"	0.225	46500	12500	160745	7	"pcnB"	4	3
"pcnB"	"missense"	"m1"	1	17000	7500	161041	77	"pcnB"	4	3
"pcnB"	"missense"	"m1"	0.0740740740741	2500	2000	161101	7	"pcnB"	4	3
"pcnB"	"missense"	"m1"	0.928571428571	40500	8000	161258	35	"pcnB"	4	3
"dksA"	"promoter"	"m1"	0.0338983050847	48000	6000	163479	7	"IR121"	2	0
"dksA"	"promoter"	"m1"	0.544303797468	50000	7000	163500	8	"IR121"	2	0
"intergenic"	"intergenic"	"m1"	0.0760869565217	32000	7500	163618	11	"IR121"	2	0
"sfsA"	"missense"	"m1"	0.11320754717	48000	8000	163718	9	"sfsA"	5	3
"fhuA"	"missense"	"m1"	0.0952380952381	49500	3000	171485	4	"fhuA"	6	2
"fhuC"	"missense"	"m1"	0.588235294118	40500	35500	172675	13	"fhuC"	5	2
"fhuC"	"missense"	"m1"	0.132075471698	50000	1000	173174	4	"fhuC"	5	2
"fhuD"	"nonsense"	"m1"	0.0793650793651	50000	49500	173880	2	"fhuD"	2	0
"fhuB"	"missense"	"m1"	0.166666666667	37500	5500	175418	7	"fhuB"	5	1
"fhuB"	"missense"	"m1"	0.0384615384615	21000	21000	175990	2	"fhuB"	5	1
"hemL"	"promoter"	"m1"	0.214285714286	35000	32000	177749	7	"IR128"	2	0
"yadQ"	"missense"	"m1"	0.0263157894737	13500	13500	178286	2	"clcA"	6	3
"pfs"	"missense"	"m1"	0.909090909091	33000	7500	181491	47	"pfs"	3	1
"degP"	"missense"	"m1"	0.0238095238095	20000	20000	184344	1	"degP"	5	2
"degP"	"missense"	"m1"	1	39000	30500	184644	37	"degP"	5	2
"cdaR"	"missense"	"m1"	0.0117647058824	30500	30500	185330	1	"cdaR"	5	0
"cdaR"	"missense"	"m1"	0.0657894736842	28500	27000	186049	6	"cdaR"	5	0
"glnD"	"missense"	"m1"	0.220338983051	31500	30500	189626	8	"glnD"	5	1
"glnD"	"missense"	"m1"	0.0243902439024	8000	8000	190456	2	"glnD"	5	1
"glnD"	"missense"	"m1"	0.070796460177	32500	7500	191162	5	"glnD"	5	1
"tsf"	"missense"	"m1"	0.1	35000	30500	194453	12	"tsf"	3	1
"pyrH"	"missense"	"m1"	0.526315789474	46000	25500	195277	16	"pyrH"	4	0
"ispC"	"missense"	"m1"	0.0175438596491	30500	6000	197117	5	"dxr"	4	2
"uppS"	"missense"	"m1"	0.0660377358491	34000	5000	197845	6	"ispU"	4	1
"yaeL"	"missense"	"m1"	0.965517241379	43500	28000	200258	44	"yaeL"	8	2
"yaeL"	"missense"	"m1"	0.027397260274	49500	49500	200721	2	"yaeL"	8	2
"yaeT"	"missense"	"m1"	0.0666666666667	44000	42000	201223	3	"yaeT"	6	2
"yaeT"	"missense"	"m1"	0.0289855072464	50000	500	201408	3	"yaeT"	6	2
"yaeT"	"missense"	"m1"	0.0931677018634	49500	17000	202395	3	"yaeT"	6	2
"yaeT"	"missense"	"m1"	0.0121212121212	24500	24500	202421	4	"yaeT"	6	2
"yaeT"	"missense"	"m1"	0.0106382978723	16000	16000	202927	3	"yaeT"	6	2
"hlpA"	"missense"	"m1"	0.935483870968	43500	23000	203759	21	"hlpA"	4	0
"lpxD"	"missense"	"m1"	0.0112359550562	24000	24000	204014	1	"lpxD"	4	1
"lpxD"	"missense"	"m1"	0.158536585366	35000	32500	204198	8	"lpxD"	4	1
"lpxA"	"missense"	"m1"	0.0238095238095	40500	1000	205439	3	"lpxA"	4	0
"lpxA"	"missense"	"m1"	0.16	38500	37000	206065	7	"lpxA"	4	0
"rnhB"	"missense"	"m1"	0.0909090909091	35000	30500	207438	12	"rnhB"	4	0
"dnaE"	"missense"	"m1"	0.0363636363636	29500	29500	210263	1	"dnaE"	8	2
"accA"	"missense"	"m1"	0.0602409638554	47000	9500	211781	4	"accA"	2	0
"accA"	"missense"	"m1"	0.911764705882	48000	43000	212301	15	"accA"	2	0
"ldcC"	"missense"	"m1"	0.649122807018	46000	34500	212537	30	"ldcC"	5	4
"ldcC"	"missense"	"m1"	0.0819672131148	48000	21000	214357	7	"ldcC"	5	4
"ldcC"	"missense"	"m1"	1	28000	1000	214405	53	"ldcC"	5	4
"yaeR"	"missense"	"m1"	1	44000	32500	214869	36	"yaeR"	4	1
"tilS"	"missense"	"m1"	0.0919540229885	47000	43500	215190	7	"tilS"	5	3
"tilS"	"missense"	"m1"	0.294117647059	31500	28500	215533	17	"tilS"	5	3
"tilS"	"missense"	"m1"	0.0535714285714	49000	10500	216090	4	"tilS"	5	3
"rof"	"missense"	"m1"	0.0779220779221	46500	45500	216731	5	"rof"	3	1
"rof"	"missense"	"m1"	0.909090909091	49000	19000	216747	27	"rof"	3	1
"yaeQ"	"missense"	"m1"	0.0833333333333	37500	33000	217275	2	"yaeQ"	4	1
"cutF"	"missense"	"m1"	1	43500	28500	218211	42	"nlpE"	5	2
"yaeF"	"missense"	"m1"	0.0666666666667	36500	30000	219397	8	"yaeF"	4	0
"yaeB"	"missense"	"m1"	0.0285714285714	26500	26500	221779	2	"yaeB"	4	0
"gmhB"	"missense"	"m1"	0.204545454545	43000	39500	226195	9	"gmhB"	5	1
"gmhB"	"missense"	"m1"	0.698113207547	46000	9500	226233	15	"gmhB"	5	1
"intergenic"	"intergenic"	"m1"	0.64	46000	35000	226275	23	"IR168"	3	1
"intergenic"	"intergenic"	"m1"	0.208333333333	35000	29000	226465	16	"IR168"	3	1
"intergenic"	"intergenic"	"m1"	0.933333333333	39000	2000	231930	42	"IR174"	4	0
"yafC"	"missense"	"m1"	0.05	49000	47000	233553	5	"yafC"	6	2
"yafC"	"missense"	"m1"	0.0606060606061	44500	11000	233741	7	"yafC"	6	2
"yafD"	"missense"	"m1"	0.0661764705882	37000	35500	234073	4	"yafD"	3	0
"yafD"	"missense"	"m1"	0.189655172414	45000	42500	234693	5	"yafD"	3	0
"yafE"	"missense"	"m1"	0.0266666666667	6500	6500	234867	1	"yafE"	4	1
"yafE"	"missense"	"m1"	0.453125	45500	40500	235294	12	"yafE"	4	1
"intergenic"	"intergenic"	"m1"	0.506849315068	45000	5500	235495	34	"IR177"	5	1
"yafS"	"missense"	"m1"	0.64406779661	49500	44500	237822	12	"yafS"	4	0
"rnhA"	"missense"	"m1"	0.00719424460432	10500	10500	238475	1	"rnhA"	3	0
"intergenic"	"intergenic"	"m1"	0.0217391304348	21000	18000	242572	2	"IR185"	3	0
"intergenic"	"intergenic"	"m1"	0.925170068027	34000	12500	243156	49	"yhhI#1"	5	2
"intergenic"	"intergenic"	"m1"	0.894736842105	44000	14000	243390	29	"yhhI#1"	5	2
"intergenic"	"intergenic"	"m1"	0.939393939394	41000	19500	243788	43	"yhhI#1"	5	2
"ykfE"	"missense"	"m1"	0.0547945205479	50000	20500	245030	6	"ivy"	2	0
"fadE"	"missense"	"m1"	0.0681818181818	49500	47000	245644	4	"fadE"	5	1
"fadE"	"missense"	"m1"	0.0980392156863	31500	30000	245904	8	"fadE"	5	1
"lpcA"	"promoter"	"m1"	0.803278688525	49000	44500	248095	12	"IR189"	5	1
"yafK"	"promoter"	"m1"	0.947368421053	43500	25500	250428	24	"IR191"	2	0
"yafM"	"missense"	"m1"	0.215384615385	47500	7500	252608	9	"yafM"	5	1
"fhiA"	"missense"	"m1"	1	28500	26000	253813	49	"fhiA"	5	2
"intergenic"	"intergenic"	"m1"	0.0579710144928	50000	22000	255530	5	"dinB"	5	3
"intergenic"	"intergenic"	"m1"	0.134615384615	49500	48500	255593	4	"dinB"	5	3
"intergenic"	"intergenic"	"m1"	0.59649122807	50000	10500	255676	10	"dinB"	5	3
"yafO"	"missense"	"m1"	0.107142857143	42500	28500	257100	7	"yafO"	3	0
"yafO"	"missense"	"m1"	0.051724137931	49500	35500	257176	3	"yafO"	3	0
"ykfJ"	"missense"	"m1"	0.185185185185	41000	41000	258023	13	"ykfJ"	2	0
"pepD"	"missense"	"m1"	0.0987654320988	47500	1000	258938	6	"pepD"	5	2
"pepD"	"missense"	"m1"	0.015873015873	500	500	259808	2	"pepD"	5	2
"pepD"	"missense"	"m1"	0.254901960784	48000	47000	260164	7	"pepD"	5	2
"yafA"	"missense"	"m1"	0.109589041096	41500	40000	261735	6	"frsA"	4	1
"yafA"	"missense"	"m1"	0.954545454545	40500	19000	261741	42	"frsA"	4	1
"proA"	"missense"	"m1"	0.130434782609	38000	34000	266626	9	"proA"	5	2
"proA"	"missense"	"m1"	0.08	32000	8500	266821	6	"proA"	5	2
"yagQ"	"missense"	"m1"	0.08	31000	28000	268337	4	"yagQ"	4	2
"yagQ"	"missense"	"m1"	0.172413793103	43000	41500	268394	11	"yagQ"	4	2
"yagR"	"missense"	"m1"	0.0285714285714	48000	48000	269544	3	"yagR"	6	2
"yagS"	"missense"	"m1"	0.487179487179	45000	44500	271963	12	"yagS"	5	1
"intergenic"	"intergenic"	"m1"	0.895833333333	44000	1500	274584	43	"IR214"	3	1
"yagW"	"missense"	"m1"	0.0121951219512	9000	9000	276389	1	"yagW"	4	2
"yagX"	"missense"	"m1"	0.254545454545	48000	19000	277779	8	"yagX"	6	3
"yagY"	"missense"	"m1"	0.0405405405405	49500	49500	280201	1	"yagY"	6	0
"yagZ"	"missense"	"m1"	0.388888888889	42000	6000	280577	18	"ecpA"	5	0
"yagZ"	"missense"	"m1"	0.103448275862	44500	39500	280627	3	"ecpA"	5	0
"ykgK"	"missense"	"m1"	0.0208333333333	20500	20500	281411	1	"ykgK"	5	2
"ykgK"	"promoter"	"m1"	0.0454545454545	37500	37500	281580	1	"IR218"	5	2
"ykgL"	"missense"	"m1"	0.880952380952	44000	42500	282444	16	"ykgL"	2	0
"ykgM"	"missense"	"m1"	0.104166666667	33500	32000	282953	5	"ykgM"	5	0
"intergenic"	"intergenic"	"m1"	0.142857142857	29000	18000	283311	7	"IR220"	6	2
"intergenic"	"intergenic"	"m1"	0.588709677419	46000	1000	283737	18	"IR220"	6	2
"eaeH"	"missense"	"m1"	0.0126582278481	500	500	285654	2	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.819444444444	48500	9000	285773	20	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.0102040816327	6000	6000	286050	1	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.85393258427	33000	10500	286257	12	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.0111111111111	4500	1000	286566	2	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.192307692308	41000	4500	286688	9	"ECB_00256"	6	3
"eaeH"	"missense"	"m1"	0.0888888888889	29500	28500	287068	6	"ECB_00256"	6	3
"intergenic"	"intergenic"	"m1"	0.0967741935484	35000	31500	288812	10	"IR221"	2	0
"ykgA"	"missense"	"m1"	0.565789473684	46000	11000	289049	31	"ykgA"	5	0
"ykgB"	"missense"	"m1"	0.015873015873	10000	10000	290929	2	"ykgB"	3	0
"ykgC"	"missense"	"m1"	0.263157894737	31500	30500	291746	3	"ykgC"	4	2
"ykgD"	"missense"	"m1"	0.438202247191	29000	12000	293270	21	"ykgD"	4	0
"ykgD"	"missense"	"m1"	0.161904761905	46500	26500	293375	8	"ykgD"	4	0
"ykgE"	"promoter"	"m1"	0.0508474576271	42000	41500	294158	5	"IR227"	6	2
"ykgF"	"missense"	"m1"	1	29500	26000	295469	49	"ykgF"	6	3
"ykgF"	"missense"	"m1"	0.2	33500	31500	295644	6	"ykgF"	6	3
"ykgG"	"missense"	"m1"	0.451612903226	48000	11500	296979	9	"ykgG"	3	2
"intergenic"	"intergenic"	"m1"	0.880952380952	44000	26500	297403	19	"ykgH"	2	1
"intergenic"	"intergenic"	"m1"	0.138888888889	38500	36500	297965	7	"ykgH"	2	1
"intergenic"	"intergenic"	"m1"	0.176470588235	37500	9500	298188	8	"IR229"	2	0
"betA"	"missense"	"m1"	0.627118644068	45000	7500	298983	34	"betA"	5	2
"betB"	"missense"	"m1"	0.0833333333333	49500	49500	300776	1	"betB"	7	3
"betI"	"missense"	"m1"	0.512820512821	40000	17500	301649	11	"betI"	4	0
"betI"	"missense"	"m1"	0.0897435897436	49500	22000	301698	5	"betI"	4	0
"betI"	"missense"	"m1"	0.951612903226	34000	28500	301762	41	"betI"	4	0
"betT"	"missense"	"m1"	0.0138888888889	45500	16500	302368	2	"betT"	7	2
"betT"	"missense"	"m1"	0.125	42500	41500	303132	3	"betT"	7	2
"yahC"	"missense"	"m1"	0.0659340659341	36500	24500	307194	7	"yahC"	3	0
"yahD"	"missense"	"m1"	0.512820512821	42500	9500	308454	22	"yahD"	4	1
"yahE"	"missense"	"m1"	0.0140845070423	30000	5000	309070	2	"yahE"	5	2
"yahF"	"missense"	"m1"	0.0571428571429	33500	12500	310217	6	"yahF"	6	1
"yahF"	"missense"	"m1"	0.245614035088	50000	46500	310638	8	"yahF"	6	1
"yahG"	"missense"	"m1"	0.363636363636	37500	6000	311428	9	"yahG"	4	2
"yahG"	"missense"	"m1"	1	37500	28000	311852	43	"yahG"	4	2
"yahI"	"missense"	"m1"	0.185714285714	27500	6500	312838	9	"yahI"	5	2
"yahI"	"missense"	"m1"	1	37500	10000	312970	45	"yahI"	5	2
"yahI"	"missense"	"m1"	0.619047619048	29000	27500	313193	18	"yahI"	5	2
"yahI"	"missense"	"m1"	0.142857142857	39000	14500	313694	10	"yahI"	5	2
"yahJ"	"missense"	"m1"	0.0204081632653	11500	11500	313877	1	"yahJ"	4	3
"yahJ"	"missense"	"m1"	1	37500	17000	313891	36	"yahJ"	4	3
